0,1,2,3,4,5,6,7,8,9,10,11,12
0.36,0.83,0.3,189,71,43,39,66,932,1,1,1,1
0.36,0.87,0.38,196,67,47,33,64,930,1,1,1,1
0.33,0.88,0.35,194,72,47,36,69,928,1,1,1,1
0.31,0.85,0.4,199,62,47,36,66,931,1,1,1,1
0.32,0.86,0.37,180,69,50,36,66,929,1,1,1,1
0.31,0.88,0.34,180,69,48,36,66,933,1,1,1,1
0.34,0.87,0.36,199,69,48,36,62,931,1,1,1,1
0.33,0.85,0.34,206,66,50,36,66,931,1,1,1,1
0.34,0.86,0.35,208,69,43,36,66,930,1,1,1,1
0.36,0.86,0.36,206,69,48,37,66,933,1,1,1,1
0.35,0.86,0.34,199,69,48,37,67,931,1,1,1,1
0.33,0.86,0.35,203,72,48,36,59,931,1,1,1,1
0.35,0.86,0.34,194,71,47,36,64,931,1,1,1,1
0.33,0.87,0.34,194,69,48,34,64,931,1,1,1,1
0.35,0.88,0.35,203,71,48,37,67,930,1,1,1,1
0.35,0.87,0.37,192,69,48,36,69,930,1,1,1,1
0.35,0.87,0.34,210,72,48,36,66,931,1,1,1,1
0.37,0.88,0.35,201,74,48,37,66,932,1,1,1,1
0.34,0.85,0.38,203,71,50,33,64,932,1,1,1,1
0.34,0.87,0.35,201,74,48,36,67,930,1,1,1,1
0.39,0.85,0.34,201,64,48,36,71,932,1,1,1,1
0.37,0.84,0.42,201,71,48,39,66,929,1,1,1,1
0.33,0.83,0.44,201,71,53,33,67,934,1,1,1,1
0.37,0.8,0.37,203,72,48,36,62,931,1,1,1,1
0.36,0.84,0.43,208,69,51,36,66,931,1,1,1,1
0.35,0.83,0.37,201,71,45,36,67,930,1,1,1,1
0.37,0.87,0.34,203,71,50,40,66,933,1,1,1,1
0.34,0.86,0.35,201,69,51,39,69,931,1,1,1,1
0.35,0.85,0.42,203,74,50,37,59,931,1,1,1,1
0.34,0.86,0.35,208,69,53,37,66,931,1,1,1,1
0.33,0.84,0.39,203,71,48,36,66,930,1,1,1,1
0.31,0.84,0.38,208,71,50,37,71,930,1,1,1,1
0.34,0.86,0.36,196,71,50,42,62,931,1,1,1,1
0.34,0.88,0.37,203,71,51,37,67,930,1,1,1,1
0.33,0.86,0.38,203,76,48,40,67,932,1,1,1,1
0.31,0.86,0.4,208,71,50,32,66,931,1,1,1,1
0.33,0.87,0.37,201,76,50,37,69,929,1,1,1,1
0.32,0.86,0.38,203,66,50,37,69,931,1,1,1,1
0.32,0.87,0.37,203,72,53,37,67,929,1,1,1,1
0.31,0.87,0.4,203,71,51,42,66,935,1,1,1,1
0.33,0.84,0.42,208,72,51,36,66,931,1,1,1,1
0.1,0.98,0.41,203,71,50,37,71,932,1,1,1,1
0.3,0.87,0.35,206,72,48,36,67,930,1,1,1,1
0.36,0.86,0.31,201,76,50,37,67,929,1,1,1,1
0.33,0.86,0.29,201,71,50,42,64,931,1,1,1,1
0.33,0.86,0.38,206,72,54,37,67,931,1,1,1,1
0.34,0.82,0.36,203,76,48,40,67,932,1,1,1,1
0.38,0.84,0.36,210,71,50,30,67,931,1,1,1,1
0.36,0.84,0.36,203,71,53,36,69,928,1,1,1,1
0.34,0.91,0.33,206,69,50,37,67,931,1,1,1,1
0.35,0.85,0.37,206,72,53,39,69,928,1,1,1,1
0.34,0.86,0.34,203,72,51,37,67,935,1,1,1,1
0.35,0.9,0.37,210,71,51,33,66,931,1,1,1,1
0.36,0.88,0.31,206,76,51,39,67,930,1,1,1,1
0.36,0.87,0.29,208,66,48,37,71,929,1,1,1,1
0.34,0.87,0.32,206,72,51,42,67,930,1,1,1,1
0.34,0.86,0.33,203,72,54,34,69,934,1,1,1,1
0.36,0.87,0.3,208,74,51,39,61,931,1,1,1,1
0.35,0.9,0.28,206,71,50,40,66,931,1,1,1,1
0.37,0.87,0.32,206,72,43,37,67,931,1,1,1,1
0.39,0.86,0.32,192,72,50,37,67,933,1,1,1,1
0.36,0.87,0.27,187,72,51,37,67,931,1,1,1,1
0.33,0.87,0.26,194,76,51,39,62,931,1,1,1,1
0.35,0.85,0.29,196,76,53,39,67,932,1,1,1,1
0.36,0.89,0.33,194,72,51,37,67,931,1,1,1,1
0.35,0.89,0.31,199,74,51,39,71,928,1,1,1,1
0.36,0.87,0.29,187,72,50,42,64,931,1,1,1,1
0.37,0.88,0.31,194,74,53,37,67,931,1,1,1,1
0.36,0.88,0.29,196,77,50,39,67,931,1,1,1,1
0.4,0.91,-0.1,73,255,255,229,253,1022,0,1,1,1
0.28,0.96,0.06,70,255,255,229,253,1022,0,1,1,1
0.29,0.91,-0.02,70,255,255,228,253,1023,0,1,1,1
0.31,0.97,-0.02,73,255,255,229,251,1020,0,1,1,1
0.32,0.95,-0.04,73,255,255,229,251,1021,0,1,1,1
0.32,0.98,-0.06,75,255,255,229,253,1023,0,1,1,1
0.36,0.92,-0.06,66,255,255,229,253,1022,0,1,1,1
0.34,0.95,-0.07,75,255,255,226,251,1023,0,1,1,1
0.35,0.94,-0.06,75,255,255,229,250,1020,0,1,1,1
0.36,0.94,-0.06,82,255,255,229,250,1023,0,1,1,1
0.34,0.94,-0.09,66,255,255,231,246,1023,0,1,1,1
0.35,0.93,-0.07,80,255,255,225,246,1023,0,1,1,1
0.34,0.92,-0.09,77,255,255,229,243,1023,0,1,1,1
0.35,0.94,-0.07,75,255,255,228,246,1023,0,1,1,1
0.34,0.95,-0.05,73,255,255,229,245,1023,0,1,1,1
0.34,0.93,-0.06,80,255,255,228,243,1023,0,1,1,1
0.32,0.94,-0.06,77,255,255,229,245,1023,0,1,1,1
0.32,0.94,-0.05,75,255,255,229,246,1023,0,1,1,1
0.33,0.92,-0.05,77,255,255,229,246,1023,0,1,1,1
0.31,0.96,-0.06,77,255,255,231,243,1023,0,1,1,1
0.34,0.92,-0.05,82,255,255,231,246,1023,0,1,1,1
0.32,0.93,-0.08,77,255,255,232,245,1023,0,1,1,1
0.34,0.95,-0.06,77,255,255,231,248,1023,0,1,1,1
0.33,0.93,-0.05,77,255,255,232,243,1023,0,1,1,1
0.34,0.92,-0.01,75,255,255,231,246,1020,0,1,1,1
0.38,0.91,-0.04,75,255,255,232,246,1023,0,1,1,1
0.34,0.92,-0.06,77,255,255,229,246,1020,0,1,1,1
0.32,0.95,-0.09,77,255,255,231,241,1023,0,1,1,1
0.37,0.94,-0.07,73,255,255,231,248,1020,0,1,1,1
0.35,0.93,-0.09,77,255,255,229,246,1023,0,1,1,1
0.33,0.95,-0.02,77,255,255,228,245,1022,0,1,1,1
0.36,0.93,-0.07,77,255,255,226,245,1022,0,1,1,1
0.33,0.98,-0.09,75,255,255,228,246,1022,0,1,1,1
0.35,0.94,-0.04,77,255,255,225,246,1023,0,1,1,1
0.32,0.94,-0.07,77,255,255,228,245,1020,0,1,1,1
0.32,0.95,-0.03,77,255,255,229,243,1023,0,1,1,1
0.31,0.95,-0.05,75,255,255,228,246,1022,0,1,1,1
0.33,0.96,-0.05,77,255,255,228,246,1023,0,1,1,1
0.3,0.96,-0.01,77,255,255,228,245,1022,0,1,1,1
0.31,0.96,-0.04,80,255,255,228,245,1022,0,1,1,1
0.29,0.93,-0.06,80,255,255,229,245,1023,0,1,1,1
0.33,0.95,-0.03,77,255,255,235,245,1023,0,0,1,1
0.28,0.96,-0.01,80,255,255,232,243,1022,0,1,1,1
0.32,0.94,-0.03,80,255,255,234,245,1021,0,1,1,1
0.3,0.92,-0.07,80,255,255,234,246,1023,0,1,1,1
0.27,0.94,-0.02,70,255,255,235,246,1023,0,1,1,1
0.28,0.98,0.03,82,255,255,234,246,1022,0,1,1,1
0.3,0.93,-0.02,80,255,255,234,248,1021,0,1,1,1
