0,1,2,3,4,5,6,7,8,9,10,11,12
0.35,0.94,-0.09,134,89,65,54,46,1023,0,1,1,1
0.35,0.92,-0.08,136,87,65,49,48,1023,0,1,1,1
0.33,0.95,-0.05,138,87,65,45,50,1022,0,1,1,1
0.34,0.94,-0.08,134,89,67,49,52,1021,0,1,1,1
0.35,0.94,-0.07,129,89,67,51,46,1022,0,1,1,1
0.34,0.94,-0.08,136,93,65,51,43,1022,0,1,1,1
0.33,0.94,-0.06,138,87,69,49,48,1022,0,1,1,1
0.33,0.94,-0.06,136,87,64,51,50,1023,0,1,1,1
0.34,0.93,-0.07,136,89,72,51,50,1022,0,1,1,1
0.31,0.94,-0.07,136,91,67,53,48,1023,0,1,1,1
0.32,0.93,-0.06,136,89,64,51,48,1021,0,1,1,1
0.31,0.96,-0.11,138,91,67,51,50,1022,0,1,1,1
0.32,0.94,-0.04,138,89,72,48,53,1023,0,1,1,1
0.31,0.95,-0.04,141,89,69,45,52,1022,0,1,1,1
0.29,0.95,-0.11,136,89,69,51,50,1019,0,1,1,1
0.27,0.95,-0.18,124,91,69,56,50,1022,0,1,1,1
0.28,0.95,-0.11,136,91,69,53,43,1023,0,1,1,1
0.26,0.95,-0.12,141,93,69,51,50,1022,0,1,1,1
0.27,0.95,-0.1,136,87,69,53,46,1022,0,1,1,1
0.24,0.97,-0.08,136,93,67,51,52,1022,0,1,1,1
0.25,0.96,-0.05,138,91,72,51,50,1022,0,1,1,1
0.28,0.95,-0.06,138,91,65,53,52,1019,0,1,1,1
0.27,0.97,-0.09,136,91,69,54,52,1023,0,1,1,1
0.24,0.97,-0.1,138,91,72,48,55,1023,0,1,1,1
0.28,0.95,-0.07,143,91,70,51,52,1022,0,1,1,1
0.23,0.95,-0.1,143,87,74,53,52,1021,0,1,1,1
0.24,0.97,-0.06,136,91,64,54,52,1023,0,1,1,1
0.27,0.96,-0.1,141,91,70,56,52,1021,0,1,1,1
0.26,0.96,-0.06,138,91,74,51,53,1023,0,1,1,1
0.26,0.96,-0.04,141,91,70,45,55,1021,0,1,1,1
0.24,0.96,-0.09,134,94,69,53,57,1020,0,1,1,1
0.28,0.95,-0.08,129,93,70,56,48,1020,0,1,1,1
0.26,0.95,-0.09,138,94,69,53,46,1023,0,1,1,1
0.25,0.96,-0.08,143,91,70,53,53,1022,0,1,1,1
0.24,0.97,-0.07,136,93,64,54,53,1022,0,1,1,1
0.22,0.96,-0.07,141,91,69,56,53,1023,0,1,1,1
0.25,0.96,-0.09,138,91,72,56,52,1022,0,1,1,1
0.25,0.97,-0.07,143,91,70,51,52,1019,0,1,1,1
0.24,0.97,-0.09,138,93,72,53,53,1022,0,1,1,1
0.26,0.96,-0.07,136,91,70,54,53,1021,0,1,1,1
0.26,0.96,-0.08,138,93,70,53,53,1022,0,1,1,1
0.26,0.96,-0.09,141,93,70,54,53,1021,0,1,1,1
0.24,0.95,-0.07,138,93,67,53,55,1022,0,1,1,1
0.25,0.96,-0.08,138,93,70,54,53,1022,0,1,1,1
0.25,0.95,-0.09,138,93,70,54,55,1023,0,1,1,1
0.25,0.96,-0.09,141,93,70,49,53,1021,0,1,1,1
0.25,0.96,-0.07,138,93,70,53,55,1021,0,1,1,1
0.24,0.96,-0.08,138,91,72,54,53,1022,0,1,1,1
0.26,0.96,-0.1,138,96,70,53,53,1022,0,1,1,1
0.24,0.96,-0.08,141,93,72,53,53,1022,0,1,1,1
0.24,0.97,-0.09,136,93,69,53,53,1022,0,1,1,1
0.24,0.96,-0.09,141,93,72,56,53,1021,0,1,1,1
0.24,0.96,-0.1,131,93,70,54,53,1023,0,1,1,1
0.25,0.97,-0.08,138,96,70,54,50,1021,0,1,1,1
0.24,0.96,-0.06,138,94,70,54,55,1022,0,1,1,1
0.23,0.97,-0.07,138,93,72,49,55,1020,0,1,1,1
0.23,0.96,-0.09,141,91,72,53,53,1020,0,1,1,1
0.24,0.97,-0.08,138,89,69,54,55,1022,0,1,1,1
0.23,0.96,-0.09,141,93,72,56,53,1020,0,1,1,1
0.24,0.96,-0.08,138,93,72,53,53,1023,0,1,1,1
0.24,0.96,-0.08,141,93,76,53,55,1022,0,1,1,1
0.24,0.96,-0.09,141,94,72,54,55,1020,0,1,1,1
0.26,0.97,-0.11,141,93,67,54,55,1018,0,1,1,1
0.25,0.96,-0.11,141,96,72,56,55,1022,0,1,1,1
0.24,0.95,-0.11,134,93,74,54,55,1023,0,1,1,1
0.22,0.96,-0.1,138,96,72,54,50,1023,0,1,1,1
0.22,0.98,-0.06,141,93,72,54,57,1022,0,1,1,1
0.23,0.97,-0.09,141,94,72,48,57,1019,0,1,1,1
0.22,0.97,-0.09,141,93,76,53,53,1020,0,1,1,1
0.21,0.98,-0.09,141,94,67,54,57,1022,0,1,1,1
0.24,0.97,-0.09,143,93,72,59,55,1021,0,1,1,1
0.26,0.96,-0.09,141,93,72,54,55,1022,0,1,1,1
0.18,0.97,-0.08,141,94,72,54,53,1022,0,1,1,1
0.19,0.98,-0.09,143,96,72,56,55,1022,0,1,1,1
0.18,0.97,-0.05,141,94,72,51,57,1018,0,1,1,1
0.14,0.97,-0.07,143,94,74,56,59,1020,0,1,1,1
0.16,0.97,-0.11,141,91,72,56,57,1018,0,1,1,1
0.15,0.97,-0.11,143,93,74,60,55,1021,0,1,1,1
0.13,0.97,-0.14,141,93,74,56,55,1022,0,1,1,1
0.14,0.97,-0.14,143,94,74,56,55,1020,0,1,1,1
0.15,0.97,-0.14,141,96,74,57,57,1021,0,1,1,1
0.13,0.99,0.0,148,93,72,49,57,1018,0,1,1,1
0.15,0.98,-0.03,143,93,74,56,57,1020,0,1,1,1
0.16,0.99,-0.09,141,94,69,56,57,1022,0,1,1,1
0.17,0.95,-0.07,143,94,72,59,57,1022,0,1,1,1
0.14,0.96,-0.13,136,94,74,56,55,1021,0,1,1,1
0.13,0.98,-0.04,141,94,76,56,57,1021,0,1,1,1
0.16,0.97,-0.09,143,94,74,56,57,1020,0,1,1,1
0.15,0.97,-0.06,143,94,74,56,52,1022,0,1,1,1
0.17,0.99,-0.08,143,94,74,56,55,1021,0,1,1,1
0.14,0.98,-0.04,141,94,69,54,57,1017,0,1,1,1
0.13,1.01,-0.09,143,96,74,56,59,1021,0,1,1,1
0.16,0.97,-0.09,141,89,76,54,57,1021,0,1,1,1
0.14,0.97,-0.13,143,94,74,56,55,1020,0,1,1,1
0.15,1.0,-0.08,141,94,74,54,55,1023,0,1,1,1
0.14,0.98,-0.02,141,100,70,56,53,1022,0,1,1,1
0.15,0.98,-0.06,143,98,72,54,57,1021,0,1,1,1
0.14,0.98,-0.09,141,96,74,53,57,1021,0,1,1,1
0.14,1.0,-0.02,141,98,72,54,57,1020,0,1,1,1
0.16,0.98,-0.08,141,87,76,56,59,1021,0,1,1,1
0.29,0.91,0.28,159,61,43,42,255,931,1,1,1,0
0.3,0.91,0.27,166,66,43,39,255,931,1,1,1,0
0.31,0.9,0.26,166,61,43,42,255,931,1,1,1,0
0.31,0.92,0.22,166,59,43,39,255,931,1,1,1,0
0.31,0.91,0.25,164,62,47,40,255,930,1,1,1,0
0.3,0.9,0.24,164,64,42,42,255,935,1,1,1,0
0.32,0.91,0.28,168,62,45,33,255,931,1,1,1,0
0.32,0.9,0.27,164,64,45,39,255,929,1,1,1,0
0.32,0.91,0.26,159,61,45,42,255,931,1,1,1,0
0.31,0.91,0.26,161,61,45,39,255,931,1,1,1,0
0.31,0.9,0.24,161,57,45,40,255,931,1,1,1,0
0.31,0.92,0.26,159,59,43,39,255,929,1,1,1,0
0.33,0.91,0.24,157,62,47,40,255,932,1,1,1,0
0.33,0.9,0.25,157,61,48,40,255,935,1,1,1,0
0.32,0.91,0.25,164,61,47,39,255,931,1,1,1,0
0.32,0.91,0.24,154,62,47,39,255,930,1,1,1,0
0.32,0.9,0.24,154,59,45,42,255,931,1,1,1,0
0.32,0.89,0.25,159,61,47,39,255,931,1,1,1,0
0.34,0.92,0.25,159,62,47,39,255,931,1,1,1,0
0.32,0.9,0.23,159,62,39,39,255,929,1,1,1,0
0.34,0.91,0.23,159,62,47,43,255,933,1,1,1,0
0.32,0.89,0.23,157,61,50,39,255,935,1,1,1,0
0.34,0.9,0.21,159,62,47,39,255,931,1,1,1,0
0.32,0.92,0.21,157,64,47,39,255,931,1,1,1,0
0.33,0.9,0.2,159,59,47,40,255,931,1,1,1,0
0.32,0.9,0.22,159,62,50,40,255,931,1,1,1,0
0.34,0.93,0.09,159,61,47,40,255,931,1,1,1,0
0.31,0.93,0.16,159,64,42,39,255,930,1,1,1,0
0.28,0.91,0.16,143,64,48,42,255,931,1,1,1,0
0.35,0.9,0.16,145,62,51,39,255,931,1,1,1,0
0.28,0.93,0.2,150,66,47,40,255,931,1,1,1,0
0.38,0.91,0.24,154,64,48,40,255,932,1,1,1,0
0.36,0.92,0.19,152,56,48,40,255,931,1,1,1,0
0.33,0.91,0.21,152,64,51,40,255,930,1,1,1,0
0.34,0.92,0.2,152,64,47,40,255,931,1,1,1,0
0.34,0.91,0.19,152,64,42,40,255,930,1,1,1,0
0.34,0.91,0.21,154,64,48,40,255,932,1,1,1,0
0.34,0.92,0.19,150,64,50,39,255,931,1,1,1,0
0.34,0.92,0.18,152,67,48,40,253,931,1,1,1,0
0.34,0.91,0.2,157,64,50,40,255,931,1,1,1,0
0.34,0.9,0.2,152,57,48,40,255,931,1,1,1,0
0.35,0.91,0.2,152,66,50,42,253,929,1,1,1,0
0.35,0.91,0.2,152,69,48,43,255,933,1,1,1,0
0.34,0.91,0.17,157,66,48,39,255,932,1,1,1,0
0.35,0.91,0.19,157,66,48,40,255,929,1,1,1,0
0.36,0.91,0.22,143,64,48,43,253,932,1,1,1,0
0.36,0.9,0.22,154,69,48,40,255,931,1,1,1,0
0.35,0.91,0.21,154,64,48,40,255,931,1,1,1,0
0.36,0.91,0.21,152,66,48,40,255,931,1,1,1,0
0.35,0.89,0.27,154,66,48,42,255,933,1,1,1,0
0.35,0.9,0.2,152,66,51,40,255,934,1,1,1,0
0.33,0.91,0.21,154,66,48,34,255,931,1,1,1,0
0.35,0.92,0.17,147,66,48,42,255,928,1,1,1,0
0.34,0.91,0.2,145,66,48,43,255,931,1,1,1,0
0.32,0.91,0.21,152,67,50,42,255,931,1,1,1,0
0.33,0.9,0.23,152,66,51,42,255,932,1,1,1,0
0.35,0.91,0.23,152,66,48,39,255,931,1,1,1,0
0.35,0.89,0.18,152,66,48,42,255,932,1,1,1,0
0.36,0.91,0.2,150,66,50,45,255,933,1,1,1,0
0.34,0.93,0.18,157,66,48,34,253,931,1,1,1,0
0.33,0.93,0.18,147,67,48,42,253,929,1,1,1,0
0.4,0.88,0.2,150,64,48,42,255,931,1,1,1,0
0.34,0.92,0.2,152,66,53,42,253,932,1,1,1,0
0.35,0.91,0.22,152,66,50,42,253,931,1,1,1,0
0.35,0.9,0.23,152,66,42,40,251,929,1,1,1,0
0.34,0.89,0.19,154,66,48,43,253,933,1,1,1,0
0.38,0.86,0.24,152,66,50,43,253,931,1,1,1,0
0.37,0.92,0.19,152,66,50,39,253,931,1,1,1,0
0.35,0.9,0.16,147,69,50,42,253,931,1,1,1,0
0.36,0.91,0.17,150,59,48,42,251,931,1,1,1,0
0.36,0.91,0.18,150,66,51,40,253,930,1,1,1,0
0.38,0.91,0.19,150,69,45,43,251,931,1,1,1,0
0.38,0.9,0.21,147,66,48,40,251,931,1,1,1,0
0.36,0.9,0.22,150,67,51,45,251,931,1,1,1,0
0.37,0.9,0.22,147,66,50,42,251,931,1,1,1,0
0.38,0.9,0.24,150,66,50,43,245,931,1,1,1,0
0.3,0.9,0.18,154,64,51,42,251,931,1,1,1,0
0.33,0.93,0.22,150,59,48,40,253,930,1,1,1,0
0.35,0.88,0.2,150,67,50,43,253,930,1,1,1,0
0.36,0.9,0.23,150,66,50,42,253,931,1,1,1,0
0.35,0.89,0.26,152,67,51,42,253,931,1,1,1,0
0.36,0.89,0.23,152,67,50,42,255,929,1,1,1,0
0.34,0.9,0.26,140,66,50,42,253,931,1,1,1,0
0.35,0.88,0.23,150,69,50,42,248,931,1,1,1,0
0.38,0.88,0.3,157,64,53,42,253,931,1,1,1,0
0.43,0.84,0.15,152,66,50,42,253,930,1,1,1,0
0.44,0.88,0.18,152,69,53,42,253,929,1,1,1,0
0.41,0.85,0.26,152,67,48,43,251,934,1,1,1,0
0.4,0.84,0.23,152,67,50,40,251,930,1,1,1,0
0.41,0.85,0.25,152,67,50,42,253,929,1,1,1,0
0.4,0.84,0.26,145,67,50,45,248,931,1,1,1,0
0.44,0.85,0.31,154,67,50,42,248,931,1,1,1,0
0.41,0.87,0.21,154,67,50,42,251,931,1,1,1,0
0.42,0.89,0.22,152,66,50,42,251,930,1,1,1,0
0.44,0.88,0.27,154,67,51,43,250,930,1,1,1,0
0.4,0.88,0.23,152,67,53,42,250,935,1,1,1,0
0.42,0.88,0.22,159,67,51,39,250,931,1,1,1,0
0.4,0.89,0.22,154,67,50,42,250,931,1,1,1,0
0.41,0.87,0.22,154,67,50,43,250,931,1,1,1,0
0.42,0.89,0.2,154,67,53,43,250,931,1,1,1,0
-0.82,0.58,0.0,57,64,44,38,49,933,1,1,1,1
-0.83,0.53,-0.01,52,60,49,44,53,931,1,1,1,1
-0.8,0.53,0.03,62,69,54,42,57,929,1,1,1,1
-0.4,0.36,-0.04,57,57,41,30,43,931,1,1,1,1
-0.82,0.7,-0.14,62,65,48,36,43,1023,0,1,1,1
-0.95,0.71,-0.03,67,65,51,42,51,1023,0,1,1,1
-0.69,0.62,-0.09,75,76,66,47,56,1022,0,1,1,1
-0.74,0.6,-0.07,72,72,62,50,62,1020,0,1,1,1
-0.85,0.6,-0.04,70,53,46,42,49,1023,0,1,1,1
-0.72,0.55,-0.08,72,58,48,36,48,1021,0,1,1,1
-0.85,0.69,-0.08,72,72,57,48,57,1023,0,1,1,1
-0.76,0.58,-0.13,70,57,53,38,44,1023,0,1,1,1
-0.8,0.59,-0.03,75,53,48,38,46,932,1,1,1,1
-0.74,0.57,-0.05,75,60,43,39,48,932,1,1,1,1
-0.55,0.43,0.13,70,76,62,48,57,1022,0,1,1,1
-0.67,0.57,0.12,77,109,98,58,90,1023,0,1,1,1
-0.71,0.81,0.13,75,102,93,58,79,1023,0,1,1,1
-0.74,0.61,0.09,77,69,54,48,48,1023,0,1,1,1
-0.75,0.71,0.06,75,65,54,44,46,1020,0,1,1,1
-0.72,0.64,0.14,70,64,54,45,51,1020,0,1,1,1
-0.77,0.57,0.06,52,57,49,42,43,1022,0,1,1,1
-0.67,0.64,0.02,52,51,51,47,46,1021,0,1,1,1
-0.64,0.6,0.12,62,55,46,44,53,1023,0,1,1,1
-0.74,0.59,0.08,70,60,51,45,54,1023,0,1,1,1
-0.82,0.55,-0.02,75,67,56,50,59,1023,0,1,1,1
-0.75,0.59,-0.02,70,71,59,54,62,1022,0,1,1,1
-0.7,0.64,0.06,62,55,44,41,49,1023,0,1,1,1
-0.81,0.51,0.01,70,65,54,57,74,1023,0,1,1,1
-0.84,0.58,-0.02,75,64,53,55,53,1023,0,1,1,1
-0.7,0.54,0.05,88,79,61,60,64,1023,0,1,1,1
-0.7,0.63,0.04,95,76,66,60,67,1022,0,1,1,1
-0.69,0.59,0.05,65,76,64,60,71,1022,0,1,1,1
-0.76,0.58,-0.0,85,55,56,55,64,1022,0,1,1,1
-0.81,0.62,0.02,77,58,48,51,56,1023,0,1,1,1
-0.8,0.53,-0.0,72,72,59,48,56,1023,0,1,1,1
-0.71,0.6,0.03,70,62,51,48,43,1023,0,1,1,1
-0.81,0.56,-0.02,67,64,49,48,51,1023,0,1,1,1
-0.77,0.58,-0.03,77,71,49,55,62,1020,0,1,1,1
-0.68,0.53,0.11,90,85,74,61,84,1019,0,1,0,0
