0.08,0.97,0.28,244,51,31,37,249,1020,0,1,1,0
0.03,1.01,0.16,239,53,31,37,244,1023,0,1,1,0
0.03,0.97,0.24,239,54,31,37,230,1022,0,1,1,0
0.06,0.95,0.14,236,54,33,37,232,1022,0,1,1,0
0.19,0.91,0.13,239,54,31,36,232,1020,0,1,1,0
0.16,0.91,0.13,242,53,33,38,233,1021,0,1,1,0
-0.05,1.04,0.45,242,50,31,38,232,1022,0,1,1,0
-0.01,1.00,0.08,244,54,34,41,230,1021,0,1,1,0
-0.01,0.94,0.26,236,53,36,41,228,1023,0,1,1,0
0.31,0.86,0.29,242,56,34,40,225,1022,0,1,1,0
-0.14,0.97,0.27,244,56,36,41,226,1022,0,1,1,0
-0.07,1.01,0.52,242,56,31,38,225,1021,0,1,1,0
0.21,0.91,0.26,239,56,36,41,230,1022,0,1,1,0
0.20,0.87,0.37,242,51,34,41,226,1022,0,1,1,0
0.10,0.88,0.44,242,54,36,41,226,1021,0,1,1,0
0.08,0.92,0.19,239,54,39,41,233,1023,0,1,1,0
0.12,1.07,0.11,252,53,37,37,223,1022,0,1,1,0
0.11,0.97,0.17,255,79,57,43,196,1023,0,1,0,0
0.14,0.96,0.23,247,48,25,24,196,1020,0,1,1,0
0.04,0.84,0.23,249,54,27,28,226,1021,0,1,1,0
0.12,0.92,0.15,244,54,25,36,223,1022,0,1,1,0
0.14,0.98,0.21,244,62,45,31,223,1023,0,1,1,0
0.04,0.92,0.20,255,61,41,33,249,1022,0,1,1,0
0.01,0.97,0.15,255,62,42,36,253,1022,0,1,1,0
0.08,0.81,0.26,255,64,45,36,255,1023,0,1,1,0
-0.16,0.91,0.45,255,68,44,36,246,1022,0,1,1,0
-0.08,0.91,0.15,255,67,44,37,242,1023,0,1,1,0
0.09,0.90,0.24,255,65,45,30,239,1022,0,1,1,0
0.01,0.95,0.25,255,64,47,36,240,1021,0,1,1,0
0.12,1.01,0.17,255,44,36,36,244,1023,0,1,1,0
0.08,0.79,0.13,255,54,37,40,237,1022,0,1,1,0
-0.04,0.90,0.24,252,57,42,40,237,1022,0,1,1,0
0.03,0.93,0.28,255,54,37,40,242,1022,0,1,1,0
0.06,0.93,0.23,252,56,41,38,246,1023,0,1,1,0
0.07,0.94,0.28,255,64,41,38,240,1021,0,1,1,0
0.05,0.94,0.31,255,61,42,40,244,1022,0,1,1,0
0.03,0.92,0.33,255,61,44,37,240,1021,0,1,1,0
0.00,0.93,0.34,255,61,45,38,235,1021,0,1,1,0
-0.01,0.95,0.38,255,61,41,38,237,1022,0,1,1,0
0.07,0.88,0.37,255,59,41,38,240,1022,0,1,1,0
0.04,0.92,0.38,255,57,42,40,239,1022,0,1,1,0
0.04,0.91,0.36,255,61,47,40,233,1021,0,1,1,0
0.03,0.92,0.35,252,59,45,40,233,1023,0,1,1,0
0.01,0.91,0.36,255,65,44,40,226,1022,0,1,1,0
0.04,0.91,0.36,255,62,44,41,226,1022,0,1,1,0
0.00,0.94,0.32,255,61,44,34,225,1019,0,1,1,0
-0.01,0.90,0.29,255,61,47,40,228,1021,0,1,1,0
0.00,0.95,0.29,255,62,41,38,228,1020,0,1,1,0
0.04,0.93,0.30,255,64,45,40,228,1021,0,1,1,0
-0.00,0.99,0.40,255,57,44,41,232,1022,0,1,1,0
0.03,0.95,0.22,255,62,47,41,240,1021,0,1,1,0
0.08,0.94,0.27,255,61,47,41,239,1023,0,1,1,0
0.11,0.92,0.32,255,62,45,41,235,1022,0,1,1,0
